Zona,Transecto,Sp,Hora,Tiempo,Alt_Suelo,Sustrato,Ta_corporal,Ta_sustrato,Ta_ambiente,LRC,Actividad
Perturbada,3,C_crassidigitus,19:54,115,40,Planta,14.90,14.70,17.00,25.30,Cantando
Perturbada,3,C_crassidigitus,20:20,141,52,Planta,15.60,15.30,16.00,27.40,Inactiva
Perturbada,3,C_crassidigitus,21:03,184,52,Planta,13.10,13.20,15.00,,Cantando
Perturbada,3,C_crassidigitus,21:39,220,30,Planta,15.90,16.20,15.00,,Inactiva
Perturbada,3,C_crassidigitus,21:43,224,43,Planta,14.00,13.80,15.00,,Inactiva
Perturbada,3,C_crassidigitus,21:50,231,19,Planta,15.10,15.10,15.00,24.10,Inactiva
Perturbada,7,C_crassidigitus,20:18,139,0,Suelo,18.30,18.80,15.50,42.90,Inactiva
Perturbada,7,C_crassidigitus,20:45,166,30,Planta,13.70,13.90,15.50,33.60,Inactiva
Perturbada,4,C_crassidigitus,19:43,104,0,Planta,20.10,20.20,19.50,32.40,Saltando
Perturbada,4,C_crassidigitus,19:54,115,67,Planta,18.80,18.80,19.50,,Inactiva
Perturbada,4,C_crassidigitus,20:22,143,0,Planta,,,19.00,,Saltando
Perturbada,4,C_crassidigitus,20:28,149,164,Planta,18.90,18.70,19.00,27.00,Inactiva
Perturbada,4,C_crassidigitus,20:45,166,30,Planta,18.70,18.70,18.50,,Cantando
Perturbada,4,C_crassidigitus,21:02,183,60,Planta,17.90,17.90,18.00,,Inactiva
Perturbada,13,C_crassidigitus,19:58,119,151,Planta,17.10,17.00,18.50,26.30,Cantando
Perturbada,13,C_crassidigitus,20:18,139,0,Hojarasca,15.50,15.70,18.00,,Inactiva
Perturbada,13,C_crassidigitus,20:21,142,0,Hojarasca,17.90,17.70,17.50,26.20,Saltando
Perturbada,13,C_crassidigitus,20:33,154,0,Hojarasca,15.00,14.50,17.50,,Inactiva
Perturbada,13,C_crassidigitus,20:38,159,0,Hojarasca,15.90,16.00,17.50,26.60,Saltando
Perturbada,13,C_crassidigitus,20:38,159,0,Hojarasca,16.40,16.40,17.50,32.20,Inactiva
Perturbada,13,C_crassidigitus,20:49,170,0,Hojarasca,15.20,15.10,17.50,25.20,Inactiva
Perturbada,13,C_crassidigitus,20:49,170,0,Hojarasca,16.20,16.00,17.50,27.20,Inactiva
Perturbada,13,C_crassidigitus,20:57,178,0,Hojarasca,15.50,15.50,17.00,26.00,Inactiva
Perturbada,13,C_crassidigitus,21:07,188,0,Hojarasca,17.30,17.30,17.00,23.40,Inactiva
Perturbada,13,C_crassidigitus,21:07,188,0,Hojarasca,16.70,17.00,17.00,24.70,Inactiva
Perturbada,13,C_crassidigitus,21:20,201,0,Hojarasca,13.40,13.50,16.50,32.20,Inactiva
Perturbada,13,C_crassidigitus,21:26,207,0,Hojarasca,13.40,13.50,16.50,,Inactiva
Perturbada,13,C_crassidigitus,21:40,221,0,Hojarasca,13.70,13.60,16.50,25.95,Inactiva
